former keys,new key,value
weekly_insights_see_more_activity_stats_button_title / WeeklyInsights.seeMoreExerciseStatistics,,Se mer statistik över motion i din profil
scan_button_title / PlusViewController.scan,,Scanna
search_food_button_title / SelectFoodViewController.searchFoodPlaceholder,,Sök mat eller varumärke
search_activity_button_title / SelectFoodViewController.searchMotionPlaceholder,,Sök aktivitet
select_food_commonly_logged_header / SelectFoodViewController.commonlyLoggedFoodTemplate,,Mest loggat till %1$s
select_activity_commonly_logged_header / SelectFoodViewController.commonlyLoggedExercise,,Dina vanliga motionsval
select_food_commonly_logged_empty_header / SelectFoodViewController.commonlyLoggedFoodNoResults,,Du har inte loggat mat ännu
select_activity_commonly_logged_empty_header / SelectFoodViewController.commonlyLoggedExerciseNoResults,,Du har inte loggat motion ännu
activity_title_copy_meal / MealViewController.copyMealTitle,,Kopiera måltid
copy_items_copy_to_header / MealViewController.copyTo,,Kopiera till
select_food_shortcut_commonly_logged / SelectFoodViewController.allCommonlyLogged,,Tidigare val
select_food_shortcut_planned_food / PlannedMenuViewController.menuTitle,,Meny
select_food_shortcut_own / RecipesViewController.own,,Eget
select_food_shortcut_favorites / RecipesViewController.favourites,,Favoriter
user_items_activity_title / RecipesViewController.own,,Eget
favorite_items_activity_title / RecipesViewController.favourites,,Favoriter
commonly_logged_category_dropdown_activity / SelectFoodViewController.commonlyLoggedExercise,,Dina vanliga motionsval
search_activity_query_hint / SelectFoodViewController.searchMotionPlaceholder,,Sök aktivitet
food_search_results_create_foodstuff_button_title / SelectFoodSearch.createFoodstuffButton,,Skapa livsmedel
food_search_results_create_recipe_button_title / SelectFoodSearch.createRecipeButton,,Skapa recept
foodstuff_search_no_results / SelectFoodSearch.noResultsIngredients,,Tyvärr hittade vi inte det du söker. Kolla stavningen eller prova ett annat sökord.
recipe_search_no_results / SelectFoodSearch.noResultsRecipe,,Tyvärr hittade vi inte det du letade efter. Kontrollera stavningen", försök med ett annat ord eller skapa ett nytt recept.
activities_search_no_results / SelectFoodSearch.noResultsExercise,,Tyvärr hittade vi inte det du letade efter. Kontrollera stavningen eller försök med ett annat ord.
search_foodstuff_for_barcode_connection_query_hint / BarcodeConnectSearch.searchPlaceholder,,Sök livsmedel
log_food_log_tab_title / RecipeDetailsViewController.log,,Logga
log_food_instructions_tab_title / CreateRecipe.instructions,,Instruktioner
portions / RecipeDetailsViewController.portions,,portion(er)
recipe_details_ingredients_header / CreateRecipe.ingredients,,Ingredienser
recipe_energy_distribution_chart_title / RecipeDetailsViewController.energyDistribution,,Energifördelning
barcode_connection_removed / AFTCalorieContextItemViewController.barcodeDisconnected,,Streckkod borttagen
navigation_search_action_title / PlusViewController.search,,Sök
navigation_scan_action_title / PlusViewController.scan,,Scanna
edit_weightplan_button_title / ProfileViewController.editMyProgramButton,,Ändra mitt program
filters_empty_no_results_set_info / SelectFoodSearch.noResultsExercise,,Tyvärr hittade vi inte det du letade efter. Kontrollera stavningen eller försök med ett annat ord.
filters_section_no_filters / RecipesSearchViewController.noFiltersSelected,,Inga filter valda
filters_section_action_edit / CreateFoodStuff.changeNutrients,,Ändra
filters_section_activate_filters / AFTRecipeSuggestionsViewController.addFilter,,Lägg till filter
filters_section_min_rating_title / RecipeSuggestionsSelectFiltersViewController.minimumRating,,Minimibetyg
filters_tags_clear_all_warning_confirm / general.continue,,Fortsätt
recipe_details_rating_header / RecipeDetailsViewController.rating,,Mitt betyg
mp_post_activity_title / AFTMeetingPlacesBlogPostViewController.pageTitle,,Blogginlägg
logbook_note_header / DailyNoteViewController.dailyNoteTitle,,Anteckning
logbook_header_more / LogbookViewController.dailySectionTitle,,Övrigt
mood_rating_header / LogbookViewController.dailyFeedbackTitle,,Känslobarometern
sp_healthy_goal_weight_title / InfoViewController.healthyGoalTitle,,En hälsosam målvikt
sp_about_bmi_warning / AFTStartProgramInfoData.weightBelowBMI25Title,,Du är normalviktig
sp_about_bmi_title / InfoViewController.aboutBMITitle,,Om din vikt och BMI
sp_min_weight_reached_warning / AFTStartProgramInfoData.weightBelowBMI20Title,,Du bör inte gå ner mer i vikt
sp_min_weight_reached_title / AFTStartProgramInfoData.weightBelowBMI20Title,,Du bör inte gå ner mer i vikt
sp_pace_above_1kg_title / AFTStartProgramInfoData.loseQuickerPaceLevelWarningTitle,,Vid snabb viktminskning
